Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
01-Apr-25,12:04:52,T2076208,Cancelled by Driver,C2933316,Bike,Jahangirpuri,Tughlakabad,,,1,The customer was coughing/sick,,,,,,,
06-May-25,13:11:34,T8782944,Cancelled by Driver,C9505717,Bike,Indraprastha,Mehrauli,,,1,The customer was coughing/sick,,,,,,,
11-May-25,17:40:10,T6829347,Cancelled by Driver,C7673141,Bike,Mandi House,Indraprastha,,,1,The customer was coughing/sick,,,,,,,
01-Oct-25,14:59:56,T2367713,Cancelled by Driver,C4866574,Bike,Sarojini Nagar,MG Road,,,1,The customer was coughing/sick,,,,,,,
16-Sep-25,19:50:42,T9589966,Cancelled by Driver,C8609349,Bike,Nawada,Akshardham,,,1,The customer was coughing/sick,,,,,,,
08-May-25,19:20:24,T4523223,Cancelled by Driver,C5138317,Bike,INA Market,Gurgaon Sector 29,,,1,The customer was coughing/sick,,,,,,,
22-Apr-25,17:15:52,T3858216,Cancelled by Driver,C1853841,Bike,Badshahpur,Old Gurgaon,,,1,The customer was coughing/sick,,,,,,,
13-Jan-25,12:24:02,T5333109,Cancelled by Driver,C6979294,Bike,Nirman Vihar,Bhikaji Cama Place,,,1,The customer was coughing/sick,,,,,,,
24-Dec-25,8:02:19,T3078929,Cancelled by Driver,C9823270,Bike,Udyog Vihar,Hauz Khas,,,1,The customer was coughing/sick,,,,,,,
24-Feb-25,15:28:06,T5513411,Cancelled by Driver,C5845070,Bike,Chandni Chowk,Tughlakabad,,,1,The customer was coughing/sick,,,,,,,
03-Feb-25,18:16:59,T7328854,Cancelled by Driver,C7443374,Bike,Bhikaji Cama Place,Sadar Bazar Gurgaon,,,1,The customer was coughing/sick,,,,,,,
14-Sep-25,7:08:45,T3017618,Cancelled by Driver,C8398323,Bike,Kalkaji,Pataudi Chowk,,,1,The customer was coughing/sick,,,,,,,
23-Sep-25,10:35:39,T8877662,Cancelled by Driver,C5351204,Bike,Shastri Nagar,Rohini,,,1,The customer was coughing/sick,,,,,,,
10-Oct-25,5:25:21,T2180974,Cancelled by Driver,C1246341,Bike,Subhash Chowk,Uttam Nagar,,,1,The customer was coughing/sick,,,,,,,
12-Dec-25,22:36:53,T1400844,Cancelled by Driver,C7312170,Bike,IGI Airport,Vidhan Sabha,,,1,The customer was coughing/sick,,,,,,,
13-Oct-25,9:36:32,T3238097,Cancelled by Driver,C2632680,Bike,Kanhaiya Nagar,Barakhamba Road,,,1,The customer was coughing/sick,,,,,,,
12-Feb-25,20:16:52,T1491072,Cancelled by Driver,C8770460,Bike,New Colony,Bhiwadi,,,1,The customer was coughing/sick,,,,,,,
08-May-25,18:31:42,T2290384,Cancelled by Driver,C8601716,Bike,Maidan Garhi,Shastri Park,,,1,The customer was coughing/sick,,,,,,,
30-Oct-25,16:15:59,T4432713,Cancelled by Driver,C9289932,Bike,Dilshad Garden,Vatika Chowk,,,1,The customer was coughing/sick,,,,,,,
13-Oct-25,19:10:48,T7058772,Cancelled by Driver,C3015148,Bike,Cyber Hub,Rajouri Garden,,,1,The customer was coughing/sick,,,,,,,
06-Mar-25,17:24:24,T7827649,Cancelled by Driver,C4507021,Bike,Indirapuram,Udyog Vihar Phase 4,,,1,The customer was coughing/sick,,,,,,,
06-Oct-25,5:14:15,T3911974,Cancelled by Driver,C8933223,Bike,Green Park,Azadpur,,,1,The customer was coughing/sick,,,,,,,
24-Nov-25,9:35:21,T8276314,Cancelled by Driver,C7009181,Bike,Basai Dhankot,Indirapuram,,,1,The customer was coughing/sick,,,,,,,
02-Mar-25,20:31:42,T8571679,Cancelled by Driver,C8203251,Bike,Govindpuri,Azadpur,,,1,The customer was coughing/sick,,,,,,,
04-Mar-25,10:56:55,T4969126,Cancelled by Driver,C4786752,Bike,Noida Extension,Yamuna Bank,,,1,The customer was coughing/sick,,,,,,,
26-Jun-25,12:27:37,T4587050,Cancelled by Driver,C5225292,Bike,Paschim Vihar,Netaji Subhash Place,,,1,The customer was coughing/sick,,,,,,,
04-Jun-25,12:46:11,T2553271,Cancelled by Driver,C9259489,Bike,Samaypur Badli,RK Puram,,,1,The customer was coughing/sick,,,,,,,
27-Apr-25,12:05:33,T1075692,Cancelled by Driver,C7805668,Bike,Rajouri Garden,Golf Course Road,,,1,The customer was coughing/sick,,,,,,,
15-Sep-25,10:46:43,T1497635,Cancelled by Driver,C5037024,Bike,Uttam Nagar,Karkarduma,,,1,The customer was coughing/sick,,,,,,,
08-Aug-25,22:56:32,T4605892,Cancelled by Driver,C3260839,Bike,Rajouri Garden,Hauz Rani,,,1,The customer was coughing/sick,,,,,,,
30-Jan-25,22:54:59,T6606795,Cancelled by Driver,C4708399,Bike,Greater Noida,Rohini,,,1,The customer was coughing/sick,,,,,,,
05-Jan-25,13:28:03,T7114438,Cancelled by Driver,C9876469,Bike,Gurgaon Sector 29,RK Puram,,,1,The customer was coughing/sick,,,,,,,
02-Jun-25,7:47:27,T6887931,Cancelled by Driver,C7808061,Bike,Greater Noida,Netaji Subhash Place,,,1,The customer was coughing/sick,,,,,,,
15-Jun-25,16:54:06,T3286940,Cancelled by Driver,C8438469,Bike,Chirag Delhi,Badshahpur,,,1,The customer was coughing/sick,,,,,,,
21-Feb-25,11:19:36,T3147856,Cancelled by Driver,C5679424,Bike,Ghitorni Village,Azadpur,,,1,The customer was coughing/sick,,,,,,,
27-Oct-25,17:28:46,T7521177,Cancelled by Driver,C9088675,Bike,Adarsh Nagar,Ramesh Nagar,,,1,The customer was coughing/sick,,,,,,,
09-Oct-25,19:35:23,T3054688,Cancelled by Driver,C6378052,Bike,Saket A Block,Dwarka Mor,,,1,The customer was coughing/sick,,,,,,,
04-Jul-25,18:19:41,T7777696,Cancelled by Driver,C3544405,Bike,Mundka,Huda City Centre,,,1,The customer was coughing/sick,,,,,,,
30-Mar-25,9:20:30,T8858856,Cancelled by Driver,C8680150,Bike,Sultanpur,Manesar,,,1,The customer was coughing/sick,,,,,,,
29-Dec-25,11:59:38,T6706217,Cancelled by Driver,C1328356,Bike,Kirti Nagar,Laxmi Nagar,,,1,The customer was coughing/sick,,,,,,,
31-Aug-25,13:59:02,T4956319,Cancelled by Driver,C9833211,Bike,Aya Nagar,AIIMS,,,1,The customer was coughing/sick,,,,,,,
29-Sep-25,20:59:32,T7621097,Cancelled by Driver,C7019929,Bike,Maidan Garhi,Noida Film City,,,1,The customer was coughing/sick,,,,,,,
26-Jun-25,20:18:18,T4873647,Cancelled by Driver,C2056714,Bike,India Gate,Khandsa,,,1,The customer was coughing/sick,,,,,,,
08-Jul-25,9:38:02,T5985641,Cancelled by Driver,C9014240,Bike,Noida Sector 18,RK Puram,,,1,The customer was coughing/sick,,,,,,,
26-Dec-25,7:25:08,T8336664,Cancelled by Driver,C7325317,Bike,Kaushambi,Govindpuri,,,1,The customer was coughing/sick,,,,,,,
14-Jun-25,18:05:52,T6949412,Cancelled by Driver,C2401286,Bike,Anand Vihar,Udyog Vihar Phase 4,,,1,The customer was coughing/sick,,,,,,,
06-Mar-25,12:12:15,T8121945,Cancelled by Driver,C8852619,Bike,Ashram,Paschim Vihar,,,1,The customer was coughing/sick,,,,,,,
22-Mar-25,15:10:24,T2707048,Cancelled by Driver,C4021255,Bike,New Delhi Railway Station,Kadarpur,,,1,The customer was coughing/sick,,,,,,,
06-Jul-25,15:37:10,T5845226,Cancelled by Driver,C6987513,Bike,Rajiv Chowk,Ambience Mall,,,1,The customer was coughing/sick,,,,,,,
05-Nov-25,17:55:09,T4389725,Cancelled by Driver,C5797243,Bike,Gurgaon Sector 56,Delhi Gate,,,1,The customer was coughing/sick,,,,,,,
23-Nov-25,20:26:46,T4031661,Cancelled by Driver,C6597150,Bike,Mandi House,Indirapuram,,,1,The customer was coughing/sick,,,,,,,
21-Dec-25,13:23:17,T5399608,Cancelled by Driver,C5591512,Bike,Janakpuri,Pitampura,,,1,The customer was coughing/sick,,,,,,,
19-May-25,16:43:58,T3272168,Cancelled by Driver,C8077362,Bike,IMT Manesar,Shastri Nagar,,,1,The customer was coughing/sick,,,,,,,
06-Jun-25,10:32:10,T7045370,Cancelled by Driver,C9146403,Bike,Ghaziabad,Sarojini Nagar,,,1,The customer was coughing/sick,,,,,,,
04-Aug-25,16:20:03,T3677928,Cancelled by Driver,C6787194,Bike,Old Gurgaon,Gurgaon Sector 29,,,1,The customer was coughing/sick,,,,,,,
04-Aug-25,19:11:27,T9011174,Cancelled by Driver,C7700835,Bike,Sikanderpur,Udyog Bhawan,,,1,The customer was coughing/sick,,,,,,,
28-Apr-25,18:23:40,T3438991,Cancelled by Driver,C4480767,Bike,Lok Kalyan Marg,Old Gurgaon,,,1,The customer was coughing/sick,,,,,,,
26-Mar-25,12:31:30,T4675371,Cancelled by Driver,C9824550,Bike,Vasant Kunj,GTB Nagar,,,1,The customer was coughing/sick,,,,,,,
29-Aug-25,15:31:16,T8160930,Cancelled by Driver,C1972299,Bike,Akshardham,Bahadurgarh,,,1,The customer was coughing/sick,,,,,,,
14-Feb-25,17:40:48,T7802763,Cancelled by Driver,C5002838,Bike,AIIMS,Mehrauli,,,1,The customer was coughing/sick,,,,,,,
10-Jan-25,14:19:23,T9866009,Cancelled by Driver,C4750461,Bike,AIIMS,Udyog Bhawan,,,1,The customer was coughing/sick,,,,,,,
16-Jul-25,15:46:11,T4387656,Cancelled by Driver,C9295034,Bike,Pulbangash,Paharganj,,,1,The customer was coughing/sick,,,,,,,
21-Dec-25,10:49:20,T3529522,Cancelled by Driver,C6384899,Bike,Khandsa,Vishwavidyalaya,,,1,The customer was coughing/sick,,,,,,,
05-Aug-25,6:37:27,T7032599,Cancelled by Driver,C5520780,Bike,Govindpuri,Gurgaon Railway Station,,,1,The customer was coughing/sick,,,,,,,
01-Aug-25,17:15:54,T7193298,Cancelled by Driver,C5293876,Bike,Rajiv Chowk,Janakpuri,,,1,The customer was coughing/sick,,,,,,,
24-Aug-25,16:55:13,T1054445,Cancelled by Driver,C5861302,Bike,Khan Market,Arjangarh,,,1,The customer was coughing/sick,,,,,,,
20-Dec-25,17:07:50,T1122364,Cancelled by Driver,C7565728,Bike,Kaushambi,IMT Manesar,,,1,The customer was coughing/sick,,,,,,,
07-May-25,14:54:00,T3102728,Cancelled by Driver,C4555407,Bike,GTB Nagar,MG Road,,,1,The customer was coughing/sick,,,,,,,
26-Jun-25,14:10:52,T1980587,Cancelled by Driver,C5810719,Bike,Udyog Vihar Phase 4,Dwarka Sector 21,,,1,The customer was coughing/sick,,,,,,,
23-Oct-25,14:48:15,T2762222,Cancelled by Driver,C5715592,Bike,Paschim Vihar,Subhash Chowk,,,1,The customer was coughing/sick,,,,,,,
12-Aug-25,10:40:03,T2179926,Cancelled by Driver,C7239907,Bike,Chhatarpur,Raj Nagar Extension,,,1,The customer was coughing/sick,,,,,,,
25-Jun-25,7:09:25,T3829634,Cancelled by Driver,C9340176,Bike,Pulbangash,Ramesh Nagar,,,1,The customer was coughing/sick,,,,,,,
23-Dec-25,14:48:52,T6034966,Cancelled by Driver,C7608676,Bike,Hauz Khas,New Colony,,,1,The customer was coughing/sick,,,,,,,
09-Nov-25,16:23:56,T7859250,Cancelled by Driver,C2319663,Bike,Azadpur,GTB Nagar,,,1,The customer was coughing/sick,,,,,,,
02-Apr-25,20:33:34,T1898689,Cancelled by Driver,C7908891,Bike,Udyog Vihar,Paharganj,,,1,The customer was coughing/sick,,,,,,,
01-Jan-25,4:53:44,T5069850,Cancelled by Driver,C5422980,Bike,Dwarka Sector 21,Punjabi Bagh,,,1,The customer was coughing/sick,,,,,,,
21-Mar-25,3:23:58,T3607054,Cancelled by Driver,C9270282,Bike,Connaught Place,Paharganj,,,1,The customer was coughing/sick,,,,,,,
28-Jun-25,21:04:48,T8705811,Cancelled by Driver,C7645230,Bike,Janakpuri,Sarai Kale Khan,,,1,The customer was coughing/sick,,,,,,,
12-Jul-25,19:18:12,T1778776,Cancelled by Driver,C8952887,Bike,Azadpur,IMT Manesar,,,1,The customer was coughing/sick,,,,,,,
05-Apr-25,20:50:51,T8542079,Cancelled by Driver,C7049016,Bike,Udyog Vihar,Subhash Nagar,,,1,The customer was coughing/sick,,,,,,,
27-Oct-25,11:39:01,T8951131,Cancelled by Driver,C1944947,Bike,Manesar,Hauz Rani,,,1,The customer was coughing/sick,,,,,,,
29-Mar-25,23:54:38,T3666229,Cancelled by Driver,C7930485,Bike,Akshardham,Munirka,,,1,The customer was coughing/sick,,,,,,,
08-Jun-25,9:48:42,T7046047,Cancelled by Driver,C2788242,Bike,Pitampura,Dwarka Sector 21,,,1,The customer was coughing/sick,,,,,,,
26-Aug-25,11:25:49,T7776807,Cancelled by Driver,C7706457,Bike,Kanhaiya Nagar,Rithala,,,1,The customer was coughing/sick,,,,,,,
26-Jan-25,18:17:39,T3750543,Cancelled by Driver,C1067968,Bike,Vatika Chowk,Subhash Nagar,,,1,The customer was coughing/sick,,,,,,,
02-Apr-25,19:59:16,T6646725,Cancelled by Driver,C4966359,Bike,Kadarpur,Noida Extension,,,1,The customer was coughing/sick,,,,,,,
11-Jan-25,21:53:36,T4169622,Cancelled by Driver,C9377764,Bike,Chhatarpur,Bhikaji Cama Place,,,1,The customer was coughing/sick,,,,,,,
18-Dec-25,14:58:56,T6277580,Cancelled by Driver,C3269564,Bike,Janakpuri,Green Park,,,1,The customer was coughing/sick,,,,,,,
11-Apr-25,1:44:41,T4367173,Cancelled by Driver,C4861587,Bike,Sonipat,Sarai Kale Khan,,,1,The customer was coughing/sick,,,,,,,
01-Apr-25,12:53:02,T5073801,Cancelled by Driver,C2142146,Bike,Gurgaon Sector 29,Kalkaji,,,1,The customer was coughing/sick,,,,,,,
30-Jun-25,12:56:57,T4052226,Cancelled by Driver,C9921836,Bike,Chandni Chowk,Paharganj,,,1,The customer was coughing/sick,,,,,,,
29-Nov-25,10:33:09,T8748055,Cancelled by Driver,C6879645,Bike,Khandsa,New Delhi Railway Station,,,1,The customer was coughing/sick,,,,,,,
17-Jun-25,20:35:35,T9562451,Cancelled by Driver,C7363605,Bike,Dilshad Garden,Adarsh Nagar,,,1,The customer was coughing/sick,,,,,,,
14-Nov-25,11:50:06,T1390735,Cancelled by Driver,C2497745,Bike,Khandsa,Seelampur,,,1,The customer was coughing/sick,,,,,,,
05-Jun-25,21:55:37,T6047156,Cancelled by Driver,C9502654,Bike,Preet Vihar,Vishwavidyalaya,,,1,The customer was coughing/sick,,,,,,,
07-Jan-25,19:15:57,T1969077,Cancelled by Driver,C9366713,Bike,IGNOU Road,Botanical Garden,,,1,The customer was coughing/sick,,,,,,,
25-Apr-25,21:18:10,T3530919,Cancelled by Driver,C5729347,Bike,Karkarduma,Qutub Minar,,,1,The customer was coughing/sick,,,,,,,
15-Mar-25,17:13:46,T1738038,Cancelled by Driver,C4234092,Bike,Shivaji Park,Lajpat Nagar,,,1,The customer was coughing/sick,,,,,,,
13-Jul-25,8:32:52,T1525702,Cancelled by Driver,C3452224,Bike,Satguru Ram Singh Marg,Shastri Nagar,,,1,The customer was coughing/sick,,,,,,,
12-Apr-25,16:39:44,T3197711,Cancelled by Driver,C8406982,Bike,Manesar,Maidan Garhi,,,1,The customer was coughing/sick,,,,,,,
18-Apr-25,17:33:27,T5993388,Cancelled by Driver,C2255199,Bike,Kaushambi,Karkarduma,,,1,The customer was coughing/sick,,,,,,,
17-Nov-25,17:26:02,T6442982,Cancelled by Driver,C4013497,Bike,Subhash Nagar,IMT Manesar,,,1,The customer was coughing/sick,,,,,,,
16-Dec-25,18:16:31,T2226164,Cancelled by Driver,C2233860,Bike,Pulbangash,Munirka,,,1,The customer was coughing/sick,,,,,,,
07-Oct-25,18:57:58,T6306485,Cancelled by Driver,C8820272,Bike,Samaypur Badli,Udyog Bhawan,,,1,The customer was coughing/sick,,,,,,,
07-Mar-25,18:47:53,T5679088,Cancelled by Driver,C5477962,Bike,Tagore Garden,Moti Nagar,,,1,The customer was coughing/sick,,,,,,,
12-Feb-25,18:24:44,T3052620,Cancelled by Driver,C1319584,Bike,Greater Noida,Basai Dhankot,,,1,The customer was coughing/sick,,,,,,,
09-Apr-25,6:54:51,T1619675,Cancelled by Driver,C7270435,Bike,Subhash Nagar,Rithala,,,1,The customer was coughing/sick,,,,,,,
20-Jun-25,10:59:46,T6815534,Cancelled by Driver,C4429767,Bike,Vasant Kunj,Greater Noida,,,1,The customer was coughing/sick,,,,,,,
05-Jun-25,8:43:23,T9832116,Cancelled by Driver,C6003218,Bike,Sultanpur,Karol Bagh,,,1,The customer was coughing/sick,,,,,,,
13-Sep-25,17:16:27,T2315160,Cancelled by Driver,C3922959,Bike,Tughlakabad,New Colony,,,1,The customer was coughing/sick,,,,,,,
29-Nov-25,20:21:19,T9975073,Cancelled by Driver,C9855749,Bike,Shahdara,Ashram,,,1,The customer was coughing/sick,,,,,,,
25-Jul-25,11:53:27,T7082837,Cancelled by Driver,C7607451,Bike,DLF City Court,Dwarka Sector 21,,,1,The customer was coughing/sick,,,,,,,
11-Jun-25,7:12:38,T9722982,Cancelled by Driver,C8264871,Bike,Udyog Vihar,Chirag Delhi,,,1,The customer was coughing/sick,,,,,,,
06-Oct-25,23:12:19,T3482732,Cancelled by Driver,C4170068,Bike,Bhiwadi,Vishwavidyalaya,,,1,The customer was coughing/sick,,,,,,,
01-Jun-25,9:35:07,T2627960,Cancelled by Driver,C3359385,Bike,Malviya Nagar,Keshav Puram,,,1,The customer was coughing/sick,,,,,,,
03-Dec-25,14:28:58,T9950679,Cancelled by Driver,C4303230,Bike,Bahadurgarh,Bhikaji Cama Place,,,1,The customer was coughing/sick,,,,,,,
26-Jun-25,18:57:40,T1991727,Cancelled by Driver,C9422603,Bike,Subhash Nagar,Mayur Vihar,,,1,The customer was coughing/sick,,,,,,,
28-Jan-25,18:36:12,T3671959,Cancelled by Driver,C6940056,Bike,Chhatarpur,IMT Manesar,,,1,The customer was coughing/sick,,,,,,,
12-Jun-25,12:12:49,T1697430,Cancelled by Driver,C1729685,Bike,Gurgaon Railway Station,Ghaziabad,,,1,The customer was coughing/sick,,,,,,,
25-Sep-25,17:49:13,T6277062,Cancelled by Driver,C2031895,Bike,Vidhan Sabha,Tagore Garden,,,1,The customer was coughing/sick,,,,,,,
21-Sep-25,17:10:39,T4177628,Cancelled by Driver,C2805279,Bike,GTB Nagar,Vidhan Sabha,,,1,The customer was coughing/sick,,,,,,,
30-Sep-25,20:24:36,T6748200,Cancelled by Driver,C1685574,Bike,Delhi Gate,Indirapuram,,,1,The customer was coughing/sick,,,,,,,
21-Nov-25,10:43:39,T1355536,Cancelled by Driver,C9987810,Bike,Greater Noida,IGI Airport,,,1,The customer was coughing/sick,,,,,,,
15-Sep-25,15:10:55,T9703960,Cancelled by Driver,C5445413,Bike,Sushant Lok,Bahadurgarh,,,1,The customer was coughing/sick,,,,,,,
28-Jun-25,5:22:13,T7407187,Cancelled by Driver,C1206990,Bike,Tilak Nagar,MG Road,,,1,The customer was coughing/sick,,,,,,,
15-Feb-25,11:18:18,T7176512,Cancelled by Driver,C8003822,Bike,Uttam Nagar,Khandsa,,,1,The customer was coughing/sick,,,,,,,
05-Jan-25,16:06:17,T6875672,Cancelled by Driver,C2828081,Bike,Chhatarpur,Ashok Park Main,,,1,The customer was coughing/sick,,,,,,,
13-Jun-25,7:33:52,T2703025,Cancelled by Driver,C4634253,Bike,Karol Bagh,Kalkaji,,,1,The customer was coughing/sick,,,,,,,
03-Apr-25,5:10:58,T1448456,Cancelled by Driver,C4902990,Bike,Peeragarhi,AIIMS,,,1,The customer was coughing/sick,,,,,,,
28-Jan-25,15:25:33,T9953421,Cancelled by Driver,C7335288,Bike,Vishwavidyalaya,Nehru Place,,,1,The customer was coughing/sick,,,,,,,
04-Oct-25,16:30:39,T3236256,Cancelled by Driver,C7364786,Bike,Lajpat Nagar,Vidhan Sabha,,,1,The customer was coughing/sick,,,,,,,
06-Apr-25,19:28:29,T1425458,Cancelled by Driver,C8500776,Bike,Rohini,Seelampur,,,1,The customer was coughing/sick,,,,,,,
08-Apr-25,21:40:14,T3639618,Cancelled by Driver,C1086334,Bike,Kadarpur,Khandsa,,,1,The customer was coughing/sick,,,,,,,
25-Jul-25,9:25:55,T5309162,Cancelled by Driver,C2696359,Bike,IFFCO Chowk,Paschim Vihar,,,1,The customer was coughing/sick,,,,,,,
21-Nov-25,10:29:56,T6295265,Cancelled by Driver,C5936551,Bike,Gwal Pahari,Ambience Mall,,,1,The customer was coughing/sick,,,,,,,
29-Jul-25,3:01:42,T5336656,Cancelled by Driver,C7016475,Bike,Pataudi Chowk,Seelampur,,,1,The customer was coughing/sick,,,,,,,
01-Jan-25,2:56:49,T9519641,Cancelled by Driver,C1177393,Bike,Green Park,Adarsh Nagar,,,1,The customer was coughing/sick,,,,,,,
12-Dec-25,22:23:39,T5623193,Cancelled by Driver,C8461060,Bike,Huda City Centre,Hero Honda Chowk,,,1,The customer was coughing/sick,,,,,,,
09-May-25,12:20:42,T3176881,Cancelled by Driver,C9999309,Bike,Okhla,IIT Delhi,,,1,The customer was coughing/sick,,,,,,,
11-Aug-25,21:17:06,T2388999,Cancelled by Driver,C9899141,Bike,DLF City Court,Chirag Delhi,,,1,The customer was coughing/sick,,,,,,,
26-Jul-25,20:29:01,T9001937,Cancelled by Driver,C1188435,Bike,New Colony,Govindpuri,,,1,The customer was coughing/sick,,,,,,,
09-Feb-25,7:14:15,T3127078,Cancelled by Driver,C8148452,Bike,Connaught Place,Kherki Daula Toll,,,1,The customer was coughing/sick,,,,,,,
06-Aug-25,14:15:42,T6855381,Cancelled by Driver,C8404650,Bike,Mandi House,Samaypur Badli,,,1,The customer was coughing/sick,,,,,,,
22-Jun-25,17:55:47,T7843825,Cancelled by Driver,C8434530,Bike,Pitampura,Punjabi Bagh,,,1,The customer was coughing/sick,,,,,,,
16-Mar-25,11:34:05,T6244257,Cancelled by Driver,C6996577,Bike,Samaypur Badli,IIT Delhi,,,1,The customer was coughing/sick,,,,,,,
05-Nov-25,21:24:55,T4876628,Cancelled by Driver,C8740493,Bike,Karkarduma,Udyog Vihar,,,1,The customer was coughing/sick,,,,,,,
06-Feb-25,23:47:04,T2554923,Cancelled by Driver,C7932467,Bike,Indirapuram,New Delhi Railway Station,,,1,The customer was coughing/sick,,,,,,,
26-Jan-25,5:11:01,T1531943,Cancelled by Driver,C8819158,Bike,Kaushambi,Hauz Rani,,,1,The customer was coughing/sick,,,,,,,
14-Jul-25,19:05:52,T7502639,Cancelled by Driver,C1873474,Bike,Bhiwadi,AIIMS,,,1,The customer was coughing/sick,,,,,,,
10-May-25,5:52:11,T1227992,Cancelled by Driver,C1598562,Bike,Hauz Khas,Narsinghpur,,,1,The customer was coughing/sick,,,,,,,
19-Apr-25,18:36:19,T1733784,Cancelled by Driver,C7851764,Bike,Shastri Park,Meerut,,,1,The customer was coughing/sick,,,,,,,
22-Sep-25,13:37:48,T5069812,Cancelled by Driver,C4485703,Bike,Anand Vihar,Rohini West,,,1,The customer was coughing/sick,,,,,,,
07-Feb-25,12:03:15,T8269235,Cancelled by Driver,C7624612,Bike,Nehru Place,Tilak Nagar,,,1,The customer was coughing/sick,,,,,,,
08-Nov-25,6:16:57,T2001720,Cancelled by Driver,C7100716,Bike,Golf Course Road,Sarai Kale Khan,,,1,The customer was coughing/sick,,,,,,,
03-Oct-25,12:16:38,T2958169,Cancelled by Driver,C7101287,Bike,Botanical Garden,Delhi Gate,,,1,The customer was coughing/sick,,,,,,,
10-Jan-25,19:40:33,T2420210,Cancelled by Driver,C7581524,Bike,Karol Bagh,Pragati Maidan,,,1,The customer was coughing/sick,,,,,,,
24-Mar-25,16:08:20,T4904634,Cancelled by Driver,C4985836,Bike,Rohini West,Jor Bagh,,,1,The customer was coughing/sick,,,,,,,
29-Jun-25,13:41:24,T7243679,Cancelled by Driver,C8734619,Bike,Malviya Nagar,Paharganj,,,1,The customer was coughing/sick,,,,,,,
14-Apr-25,16:36:55,T9257185,Cancelled by Driver,C4995598,Bike,Badshahpur,Barakhamba Road,,,1,The customer was coughing/sick,,,,,,,
02-Oct-25,6:14:41,T2193565,Cancelled by Driver,C1131153,Bike,Jama Masjid,Jahangirpuri,,,1,The customer was coughing/sick,,,,,,,
21-May-25,18:47:17,T2631048,Cancelled by Driver,C5716697,Bike,Lal Quila,Kalkaji,,,1,The customer was coughing/sick,,,,,,,
28-Nov-25,21:33:51,T8206108,Cancelled by Driver,C4264432,Bike,Noida Sector 18,Rajouri Garden,,,1,The customer was coughing/sick,,,,,,,
20-Jan-25,15:12:47,T9257051,Cancelled by Driver,C9534601,Bike,Qutub Minar,IMT Manesar,,,1,The customer was coughing/sick,,,,,,,
25-Apr-25,14:43:15,T4737385,Cancelled by Driver,C7165003,Bike,Malviya Nagar,Sonipat,,,1,The customer was coughing/sick,,,,,,,
28-Dec-25,23:39:32,T1701980,Cancelled by Driver,C3102519,Bike,Aya Nagar,Civil Lines Gurgaon,,,1,The customer was coughing/sick,,,,,,,
07-Apr-25,14:38:34,T3493275,Cancelled by Driver,C6509358,Bike,Delhi Gate,Akshardham,,,1,The customer was coughing/sick,,,,,,,
04-Jan-25,17:24:36,T1019328,Cancelled by Driver,C9072666,Bike,Azadpur,MG Road,,,1,The customer was coughing/sick,,,,,,,
25-Apr-25,12:19:12,T2426522,Cancelled by Driver,C9765216,Bike,Vinobapuri,Saket A Block,,,1,The customer was coughing/sick,,,,,,,
01-Feb-25,18:11:32,T9131336,Cancelled by Driver,C4888272,Bike,Model Town,Udyog Vihar,,,1,The customer was coughing/sick,,,,,,,
18-Dec-25,11:10:26,T6140680,Cancelled by Driver,C8752785,Bike,Sarojini Nagar,Vinobapuri,,,1,The customer was coughing/sick,,,,,,,
20-Dec-25,19:12:09,T8831490,Cancelled by Driver,C1874189,Bike,Raj Nagar Extension,Vidhan Sabha,,,1,The customer was coughing/sick,,,,,,,
13-May-25,11:10:57,T3497360,Cancelled by Driver,C5082618,Bike,Pataudi Chowk,Adarsh Nagar,,,1,The customer was coughing/sick,,,,,,,
26-Aug-25,17:29:52,T2416147,Cancelled by Driver,C2951650,Bike,Seelampur,Kashmere Gate ISBT,,,1,The customer was coughing/sick,,,,,,,
21-May-25,19:25:37,T1574640,Cancelled by Driver,C6546175,Bike,Noida Sector 62,Jasola,,,1,The customer was coughing/sick,,,,,,,
24-Jan-25,18:24:18,T5272761,Cancelled by Driver,C2857703,Bike,Hero Honda Chowk,Saket A Block,,,1,The customer was coughing/sick,,,,,,,
24-May-25,20:40:20,T6660732,Cancelled by Driver,C8770260,Bike,Sushant Lok,Sadar Bazar Gurgaon,,,1,The customer was coughing/sick,,,,,,,
20-Nov-25,18:13:59,T5588945,Cancelled by Driver,C4758302,Bike,Mundka,Subhash Chowk,,,1,The customer was coughing/sick,,,,,,,
01-Apr-25,18:01:12,T5232512,Cancelled by Driver,C2235549,Bike,India Gate,Jahangirpuri,,,1,The customer was coughing/sick,,,,,,,
04-Mar-25,5:16:58,T5084774,Cancelled by Driver,C5061786,Bike,Rohini West,Rajouri Garden,,,1,The customer was coughing/sick,,,,,,,
08-Apr-25,11:52:13,T3737900,Cancelled by Driver,C1028093,Bike,Tilak Nagar,Munirka,,,1,The customer was coughing/sick,,,,,,,
11-Feb-25,13:17:24,T6975621,Cancelled by Driver,C3939135,Bike,Rohini,Preet Vihar,,,1,The customer was coughing/sick,,,,,,,
